DET_TB_LTBI_only,DET_TB_RSTR_only,DET_TB_LTBI_and_lmekin,DET_TB_RSTR_and_lmekin
ABHD12,ACSL4,ANKRD44,ADGRE2
AC055839.2,DISC1,BTN2A2,ANPEP
AKNA,GAPDH,CIITA,CD300E
AP3M2,GNA15,GSTK1,CSF1R
ARHGAP45,IFNGR2,IFNG,GNA12
ARHGEF3,LAIR1,IRF1,GRB2
BRPF1,LST1,IRF8,PNKD
CCDC88C,MARCHF1,,PTTG1IP
CCND2,PARVB,,TIMP1
CD3E,PDE4A,,TNFRSF1B
DDX55,PGK1,,
ECHDC2,RASSF8,,
EPB41,ZEB2,,
ESYT1,,,
FCMR,,,
FLYWCH1,,,
GBP5,,,
HAPLN3,,,
HENMT1,,,
HLA-DMB,,,
ICOS,,,
KBTBD4,,,
MIDEAS,,,
MOGS,,,
POLR2J3,,,
PRKACB,,,
PRKCQ,,,
RAB11FIP4,,,
RASGRF2,,,
RASSF2,,,
STAT1,,,
STRBP,,,
TAGLN,,,
TMEM245,,,
TNFRSF25,,,
TTC12,,,
UBD,,,
ZDHHC14,,,
